edad,salario,experiencia,antiguedad_empresa,departamento,tipo_contrato,horas_trabajo,satisfaccion_laboral,balance_trabajo_vida,promociones,distancia_trabajo,comentarios_empleado,renuncia
33,2823,13,7,logistica,fijo,52,4,4,3,6,estoy motivado y satisfecho con mis proyectos y me siento muy estresado por la carga laboral,1
22,1923,0,0,rrhh,fijo,54,3,5,0,27,"no es el mejor trabajo, pero tampoco el peor y me siento muy estresado por la carga laboral",1
52,2702,26,15,ti,temporal,37,4,1,3,17,estoy orgulloso de lo que hacemos,0
29,1022,5,0,logistica,temporal,43,4,4,0,14,me gusta el ambiente laboral y siento que no hay crecimiento profesional,1
42,2003,24,7,rrhh,temporal,34,2,5,0,39,el liderazgo es deficiente,1
38,2412,19,10,ti,fijo,41,4,3,2,29,me siento reconocido por mis esfuerzos,0
53,2688,34,26,ventas,temporal,56,2,3,1,24,siento que mi esfuerzo no se reconoce,1
40,1937,20,8,logistica,temporal,49,4,5,0,49,estoy orgulloso de lo que hacemos,1
33,1463,13,13,ventas,temporal,40,5,1,4,49,mi equipo y mi jefe me apoyan mucho,0
56,3261,34,29,logistica,fijo,33,2,1,1,44,me siento sobrecargado y desmotivado,1
59,3664,35,23,ventas,fijo,49,5,2,4,29,siento que mi trabajo no tiene impacto,1
56,3226,32,12,rrhh,fijo,31,3,1,0,15,hay estabilidad pero falta innovacion,1
31,1807,6,0,rrhh,fijo,39,2,1,0,9,me siento estancado profesionalmente y siento que no hay crecimiento profesional,1
48,3168,30,22,rrhh,fijo,39,3,3,3,24,hay tareas repetitivas que no disfruto,1
22,1054,4,0,finanzas,fijo,36,3,3,0,11,me siento sobrecargado y desmotivado y siento que no hay crecimiento profesional,0
52,2353,32,25,logistica,temporal,53,3,1,3,39,cumplo mis funciones sin mayor inconveniente y me siento muy estresado por la carga laboral,0
40,2650,22,16,ventas,fijo,41,4,4,2,0,mi desarrollo profesional es constante,1
46,2284,21,9,ti,fijo,52,2,3,1,8,no hay oportunidades de crecimiento,0
60,3579,39,12,logistica,fijo,45,5,1,4,19,la empresa valora a sus empleados,1
28,1311,5,4,logistica,temporal,59,3,3,4,37,aprecio el apoyo de mis colegas pero no siempre de mi jefe y me siento muy estresado por la carga laboral,1
35,1629,17,12,produccion,temporal,60,4,1,2,17,no tengo motivacion para seguir en este trabajo,1
29,827,4,1,finanzas,fijo,56,1,5,1,28,no confio en la direccion de la empresa,1
26,978,3,3,logistica,fijo,39,2,3,1,36,me siento sobrecargado y desmotivado ademas considero que el salario es bajo,0
27,704,1,0,rrhh,fijo,37,2,1,0,48,hay falta de comunicacion en el equipo y siento que no hay crecimiento profesional,1
34,1149,14,6,logistica,fijo,56,3,3,1,11,"el ambiente es regular, podria mejorar y me siento muy estresado por la carga laboral",1
55,3153,33,14,ventas,fijo,56,3,4,3,36,siento que mi esfuerzo no siempre se reconoce,0
24,1359,4,0,finanzas,fijo,54,3,5,0,31,"no es el mejor trabajo, pero tampoco el peor",1
30,1408,9,2,ventas,fijo,37,2,1,1,11,no confio en la direccion de la empresa,1
57,3997,37,12,ti,fijo,34,2,5,0,36,siento que mis habilidades no se aprovechan y siento que no hay crecimiento profesional,0
59,3405,38,7,produccion,temporal,33,4,1,2,38,hay falta de comunicacion en el equipo,0
26,1634,2,0,finanzas,temporal,50,3,5,0,11,aprecio el apoyo de mis colegas pero no siempre de mi jefe,0
44,2663,26,20,produccion,fijo,41,3,5,0,32,estoy satisfecho con mi equipo,0
19,855,0,0,finanzas,temporal,40,2,2,0,42,tengo oportunidades limitadas para crecer ademas considero que el salario es bajo y siento que no hay crecimiento profesional,1
22,1252,0,0,ventas,fijo,44,2,1,0,31,siento que mis habilidades no se aprovechan,1
46,1896,24,23,rrhh,temporal,42,4,3,0,32,la cultura de la empresa es positiva,0
54,3102,34,5,ventas,fijo,30,4,3,2,23,trabajo en proyectos que me interesan,0
55,4000,37,9,rrhh,fijo,34,3,3,4,30,hay tareas repetitivas que no disfruto,0
36,2185,10,9,rrhh,fijo,35,4,5,1,46,la empresa valora a sus empleados,0
25,695,2,0,rrhh,fijo,42,2,4,0,29,el ambiente laboral es muy malo ademas considero que el salario es bajo,1
18,1114,0,0,ventas,fijo,54,1,3,0,25,el trabajo es estresante y agotador y me siento muy estresado por la carga laboral,1
39,2254,15,3,ventas,fijo,54,3,5,3,1,mi equipo y mi jefe me apoyan mucho y me siento muy estresado por la carga laboral,0
34,2645,16,8,produccion,fijo,39,4,3,4,16,me siento reconocido por mis esfuerzos,0
24,894,0,0,finanzas,fijo,59,1,2,0,0,el ambiente de oficina es tenso ademas considero que el salario es bajo,1
42,1824,20,20,rrhh,fijo,41,4,5,3,30,mi equipo y mi jefe me apoyan mucho,0
21,592,2,1,ti,fijo,32,2,1,1,28,la carga de trabajo es abrumadora ademas considero que el salario es bajo,0
53,2245,32,32,ti,fijo,58,2,5,2,10,el ambiente laboral es muy malo,0
23,1098,0,0,rrhh,temporal,58,2,2,0,44,no hay oportunidades de crecimiento y me siento muy estresado por la carga laboral,1
48,3434,22,18,finanzas,fijo,40,5,1,2,3,me siento parte de un buen equipo,0
36,1307,15,8,ventas,fijo,53,3,3,2,35,trabajo en proyectos que me interesan,0
56,3467,37,36,produccion,fijo,53,1,5,0,7,el liderazgo es deficiente y siento que no hay crecimiento profesional,1
44,1529,19,3,ti,fijo,54,3,2,2,35,me siento sobrecargado y desmotivado,1
27,863,0,0,finanzas,temporal,44,2,1,0,46,me siento parte de un buen equipo,1
43,2638,20,3,ventas,fijo,46,4,4,3,20,me gusta el ambiente laboral,1
36,1830,13,8,logistica,fijo,34,5,5,2,10,siento que crezco profesionalmente,1
56,3188,31,14,logistica,fijo,34,4,5,3,11,me siento parte de un buen equipo,0
20,1628,0,0,rrhh,fijo,52,1,3,0,25,me esfuerzo por mejorar en mi puesto y me siento muy estresado por la carga laboral,1
30,1740,11,4,ventas,fijo,40,3,4,3,26,la empresa tiene potencial de mejora,1
45,3630,27,16,ventas,fijo,37,3,3,2,33,estoy muy insatisfecho con mi trabajo,0
37,1711,17,6,logistica,fijo,40,2,4,1,9,estoy satisfecho con las condiciones laborales,0
45,2162,25,5,logistica,fijo,52,3,1,3,8,me esfuerzo por mejorar en mi puesto y me siento muy estresado por la carga laboral,1
25,718,0,0,ventas,fijo,60,2,1,0,38,el trabajo cumple con lo esperado ademas considero que el salario es bajo,1
58,3411,34,14,logistica,fijo,51,1,5,1,12,estoy muy insatisfecho con mi trabajo,1
56,3135,34,9,produccion,temporal,49,3,5,1,11,el equilibrio entre trabajo y vida es justo,1
18,1890,0,0,ti,temporal,44,4,1,0,16,hay buenas oportunidades de aprendizaje,0
20,1951,0,0,ti,temporal,38,4,4,0,3,el ambiente de oficina es tenso,0
30,1378,10,5,produccion,fijo,47,2,3,1,38,no hay oportunidades de crecimiento,1
45,2645,22,9,finanzas,fijo,35,4,1,2,27,la empresa valora a sus empleados,0
42,2012,20,19,ventas,temporal,55,2,1,0,40,el liderazgo es deficiente y me siento muy estresado por la carga laboral,1
50,2870,24,8,rrhh,fijo,35,4,2,2,19,me siento estancado profesionalmente,0
55,3032,32,12,logistica,temporal,40,4,5,3,6,me siento reconocido por mis esfuerzos,0
23,740,2,1,produccion,temporal,49,1,4,1,7,no confio en la direccion de la empresa ademas considero que el salario es bajo,1
49,3489,24,0,ventas,fijo,58,3,3,0,34,"el ambiente es regular, podria mejorar y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional",0
38,2149,20,0,ventas,fijo,32,4,2,0,28,la cultura de la empresa es positiva,1
33,1764,15,2,ti,temporal,40,2,2,1,46,no hay oportunidades de crecimiento,1
38,1880,9,8,produccion,fijo,59,3,1,0,14,el trabajo cumple con lo esperado,1
28,2244,5,4,logistica,temporal,32,4,5,1,30,estoy contento con mi trabajo,1
54,2979,25,16,rrhh,fijo,47,3,1,2,11,me esfuerzo por mejorar en mi puesto,1
53,4000,31,15,logistica,temporal,32,3,2,3,20,hay tareas repetitivas que no disfruto,1
52,2401,21,11,produccion,temporal,49,4,2,1,47,el liderazgo de mi equipo es excelente,1
36,2383,18,4,rrhh,temporal,39,3,3,2,15,"estoy aprendiendo cosas nuevas, pero hay desafios",0
37,3161,19,5,logistica,fijo,33,3,1,0,38,aprecio el apoyo de mis colegas pero no siempre de mi jefe,0
35,2024,11,3,ventas,fijo,59,2,1,0,31,el trabajo es estresante y agotador y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,1
58,1753,37,10,logistica,fijo,55,3,4,0,5,cumplo mis funciones sin mayor inconveniente y me siento muy estresado por la carga laboral,1
31,1347,10,2,rrhh,fijo,59,1,3,0,23,el liderazgo es deficiente y me siento muy estresado por la carga laboral,0
32,1014,7,4,ventas,fijo,60,3,5,3,31,el trabajo es aceptable y me siento muy estresado por la carga laboral,0
48,3137,22,5,logistica,fijo,52,1,1,1,17,el ambiente de oficina es tenso,0
18,994,0,0,logistica,fijo,33,3,1,0,43,la empresa tiene potencial de mejora,1
20,1114,0,0,logistica,temporal,54,3,5,0,9,la empresa tiene potencial de mejora y me siento muy estresado por la carga laboral,0
33,1412,11,6,logistica,fijo,53,1,3,1,28,estoy muy insatisfecho con mi trabajo y me siento muy estresado por la carga laboral,0
40,2797,17,9,logistica,fijo,30,3,1,2,8,mi experiencia es promedio,1
28,2354,8,1,rrhh,temporal,55,1,5,0,12,no hay oportunidades de crecimiento y me siento muy estresado por la carga laboral,1
29,1934,6,4,ti,fijo,46,4,4,4,50,"el equipo es bueno, pero la gestion necesita mejorar",0
27,1911,0,0,produccion,temporal,58,3,1,0,26,aprecio el apoyo de mis colegas pero no siempre de mi jefe,1
49,1519,28,28,ti,temporal,35,5,5,2,36,estoy motivado y satisfecho con mis proyectos,0
33,2202,11,6,finanzas,fijo,33,3,2,1,7,hay cosas buenas y malas,0
25,508,0,0,produccion,fijo,55,1,1,0,1,hay falta de comunicacion en el equipo y siento que no hay crecimiento profesional,1
55,3721,29,22,produccion,fijo,51,2,4,1,41,el ambiente de oficina es tenso,1
29,1166,2,2,rrhh,temporal,38,5,5,2,3,trabajo en proyectos que me interesan,1
41,2073,20,15,ventas,temporal,39,3,5,4,9,siento que crezco profesionalmente,0
45,3242,25,12,rrhh,fijo,34,3,1,3,13,aprecio el apoyo de mis colegas pero no siempre de mi jefe,0
25,831,5,0,produccion,fijo,37,3,2,0,24,hay tareas repetitivas que no disfruto y siento que no hay crecimiento profesional,0
45,2764,26,3,ti,fijo,47,5,5,2,40,trabajo en proyectos que me interesan,0
53,2802,34,18,ventas,temporal,53,1,5,1,13,el ambiente de oficina es tenso y me siento muy estresado por la carga laboral,0
43,1470,21,3,rrhh,fijo,37,4,2,3,9,la cultura de la empresa es positiva,1
25,1939,0,0,ti,fijo,47,3,4,0,7,siento que algunos procesos son confusos,1
45,2872,27,26,rrhh,fijo,36,5,1,3,5,la cultura de la empresa es positiva,0
45,2200,19,11,logistica,fijo,37,5,1,4,4,estoy satisfecho con mi equipo,0
54,3633,30,30,produccion,fijo,36,5,1,2,20,siento estabilidad en mi trabajo,1
58,4000,38,26,rrhh,fijo,51,4,3,3,48,estoy contento con mi trabajo,0
53,3113,26,3,ti,fijo,48,2,1,0,22,el liderazgo es deficiente,0
44,2987,21,16,logistica,temporal,40,3,2,3,36,hay cosas buenas y malas,1
34,2281,16,5,ti,fijo,40,5,1,3,18,los recursos para trabajar son insuficientes,1
26,1699,3,2,logistica,fijo,32,3,4,2,48,"el ambiente es regular, podria mejorar",0
50,2839,31,28,ti,fijo,53,3,3,4,19,mi experiencia es promedio y me siento muy estresado por la carga laboral,1
37,1886,14,4,rrhh,temporal,49,4,2,4,9,me gusta el ambiente laboral,1
30,1255,11,1,logistica,fijo,42,4,2,0,17,estoy contento con mi trabajo,1
45,2129,21,10,produccion,fijo,60,2,4,0,19,siento que mis habilidades no se aprovechan,0
46,2852,22,12,finanzas,fijo,55,4,1,3,47,siento que crezco profesionalmente y me siento muy estresado por la carga laboral,0
30,1758,8,4,finanzas,fijo,53,2,3,3,10,estoy muy insatisfecho con mi trabajo,1
52,3049,26,22,finanzas,fijo,60,4,3,3,14,hay un buen ambiente de colaboracion y me siento muy estresado por la carga laboral,0
23,1324,2,2,ventas,fijo,59,2,3,0,31,"el equipo es bueno, pero la gestion necesita mejorar y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional",1
35,2125,10,3,produccion,fijo,58,3,2,0,10,"el ambiente es regular, podria mejorar y siento que no hay crecimiento profesional",1
22,890,0,0,produccion,fijo,39,1,4,0,28,el trabajo es estresante y agotador ademas considero que el salario es bajo y siento que no hay crecimiento profesional,0
42,1440,16,14,ventas,fijo,35,2,2,0,39,no confio en la direccion de la empresa,1
19,1786,0,0,finanzas,fijo,32,4,1,0,38,disfruto trabajar en esta empresa,1
27,886,0,0,logistica,fijo,57,1,5,0,0,estoy satisfecho con las condiciones laborales y me siento muy estresado por la carga laboral,0
47,1643,26,4,finanzas,temporal,39,5,3,4,46,siento que crezco profesionalmente,0
22,1260,4,3,logistica,fijo,31,4,3,0,26,estoy orgulloso de lo que hacemos y siento que no hay crecimiento profesional,1
50,4000,32,3,logistica,temporal,30,3,3,0,34,siento que mi esfuerzo no siempre se reconoce,0
18,1170,0,0,ventas,temporal,41,4,2,0,7,tengo un equilibrio razonable entre trabajo y vida,1
35,2156,12,3,ti,fijo,33,2,3,0,11,no tengo motivacion para seguir en este trabajo,0
49,1765,31,19,logistica,temporal,53,2,3,4,27,me siento estancado profesionalmente,1
28,1606,5,0,produccion,fijo,49,3,5,0,47,cumplo mis funciones sin mayor inconveniente y siento que no hay crecimiento profesional,0
38,1140,13,8,finanzas,fijo,53,2,4,2,18,siento que mi esfuerzo no se reconoce,1
43,3214,19,13,finanzas,fijo,58,2,1,2,28,no tengo motivacion para seguir en este trabajo,0
42,1962,18,7,ventas,fijo,53,2,2,1,41,no recibo retroalimentacion suficiente y me siento muy estresado por la carga laboral,1
39,1725,14,6,rrhh,fijo,40,5,1,4,41,disfruto trabajar en esta empresa,1
44,3134,23,0,logistica,temporal,30,4,4,0,17,estoy satisfecho con las condiciones laborales,0
30,1599,7,7,produccion,fijo,58,3,1,4,33,estoy contento con mi trabajo y me siento muy estresado por la carga laboral,1
50,2520,25,10,logistica,temporal,45,4,2,4,50,hay buenas oportunidades de aprendizaje,1
51,2213,28,26,produccion,temporal,35,4,5,1,18,estoy satisfecho con las condiciones laborales,0
58,3017,40,3,produccion,fijo,56,1,1,0,23,el liderazgo de mi equipo es excelente y me siento muy estresado por la carga laboral,0
52,3135,29,28,ti,temporal,44,5,4,2,33,el liderazgo de mi equipo es excelente,0
18,1733,0,0,logistica,temporal,39,2,2,0,31,la carga de trabajo es abrumadora,1
38,1249,19,16,rrhh,fijo,53,1,4,1,1,el ambiente laboral es muy malo,1
23,1705,3,0,produccion,temporal,37,3,1,0,31,no hay reconocimiento al esfuerzo y siento que no hay crecimiento profesional,1
45,2375,23,18,ti,temporal,46,3,2,2,7,"el ambiente es regular, podria mejorar",1
34,2387,7,4,ti,fijo,53,3,1,3,44,"algunas tareas son interesantes, otras no tanto y me siento muy estresado por la carga laboral",1
22,1470,2,2,logistica,fijo,42,2,3,1,8,no recibo retroalimentacion suficiente,0
48,2783,28,25,ti,fijo,38,4,2,1,22,hay un buen ambiente de colaboracion,0
22,1874,2,0,produccion,fijo,56,1,1,0,28,disfruto trabajar en esta empresa y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,1
55,2430,30,23,produccion,fijo,59,4,2,2,6,estoy satisfecho con las condiciones laborales,1
20,789,1,1,ventas,fijo,35,2,5,0,4,no me siento valorado en la empresa ademas considero que el salario es bajo,0
40,2446,19,11,logistica,temporal,58,3,3,3,39,el equilibrio entre trabajo y vida es justo,1
54,2439,25,19,ventas,temporal,52,2,4,2,31,el liderazgo es deficiente,1
54,2937,31,13,rrhh,fijo,51,3,1,1,39,siento que algunos procesos son confusos,0
27,1470,0,0,ventas,fijo,50,2,4,0,2,los recursos para trabajar son insuficientes,1
27,1425,9,5,logistica,temporal,46,4,1,4,9,estoy satisfecho con mi equipo,1
36,1477,15,8,logistica,fijo,31,5,2,3,39,mi desarrollo profesional es constante,0
34,1983,11,8,produccion,fijo,55,3,4,4,28,hay tareas repetitivas que no disfruto,0
38,1688,12,11,ventas,fijo,47,4,3,2,44,estoy contento con mi trabajo,1
31,2297,13,7,rrhh,fijo,56,2,1,4,18,no hay oportunidades de crecimiento y me siento muy estresado por la carga laboral,1
26,1041,3,3,produccion,fijo,54,1,4,1,24,no confio en la direccion de la empresa y me siento muy estresado por la carga laboral,1
18,1480,0,0,finanzas,fijo,45,2,1,0,19,siento que mi esfuerzo no se reconoce,1
30,1233,12,0,finanzas,temporal,35,2,5,0,46,no hay oportunidades de crecimiento,0
21,1947,0,0,finanzas,temporal,32,3,5,0,37,el equilibrio entre trabajo y vida es justo,0
18,1768,0,0,rrhh,fijo,32,3,4,0,45,aprecio el apoyo de mis colegas pero no siempre de mi jefe,1
57,2780,34,15,rrhh,temporal,43,4,5,1,9,mi equipo y mi jefe me apoyan mucho,0
49,2242,30,11,produccion,fijo,39,2,3,0,50,no hay oportunidades de crecimiento,1
51,2942,28,9,finanzas,fijo,39,5,4,3,10,estoy motivado y satisfecho con mis proyectos,0
45,2138,22,1,logistica,fijo,31,2,2,0,13,mi desarrollo profesional es constante y siento que no hay crecimiento profesional,1
48,2650,25,2,ti,fijo,36,5,4,2,50,la cultura de la empresa es positiva,1
25,1637,3,2,ventas,fijo,43,4,2,0,30,hay un buen ambiente de colaboracion,1
56,2414,30,4,logistica,temporal,46,2,5,1,4,la empresa valora a sus empleados,0
43,3799,25,15,finanzas,fijo,46,2,4,0,42,siento estabilidad en mi trabajo y siento que no hay crecimiento profesional,1
51,2415,27,20,finanzas,fijo,59,3,3,2,27,estoy orgulloso de lo que hacemos,1
20,1287,0,0,finanzas,temporal,39,3,5,0,18,siento que algunos procesos son confusos,0
29,934,5,4,finanzas,fijo,32,1,5,1,32,no hay reconocimiento al esfuerzo ademas considero que el salario es bajo,0
18,751,0,0,logistica,fijo,46,1,5,0,1,hay falta de comunicacion en el equipo ademas considero que el salario es bajo,1
22,1465,0,0,produccion,fijo,42,2,2,0,28,mi jefe no apoya mi desarrollo profesional,1
47,2742,21,17,ventas,fijo,56,2,2,2,17,siento que mis habilidades no se aprovechan,1
47,2905,22,1,finanzas,fijo,59,3,3,1,45,mi experiencia es promedio y me siento muy estresado por la carga laboral,1
34,1676,13,7,produccion,temporal,45,4,2,1,9,la cultura de la empresa es positiva,1
40,2378,19,0,logistica,fijo,32,4,1,0,37,estoy orgulloso de lo que hacemos,1
32,2042,8,8,finanzas,fijo,44,5,1,2,14,"el ambiente es regular, podria mejorar",0
54,2379,32,17,logistica,fijo,57,2,4,1,21,me siento sobrecargado y desmotivado y me siento muy estresado por la carga laboral,1
38,1958,14,11,ti,fijo,54,2,5,4,26,no hay reconocimiento al esfuerzo y me siento muy estresado por la carga laboral,1
31,1540,13,4,logistica,fijo,36,5,1,3,26,cumplo mis funciones sin mayor inconveniente,0
19,885,0,0,produccion,fijo,42,3,2,0,21,me esfuerzo por mejorar en mi puesto,0
28,1279,6,2,ti,fijo,54,1,3,1,20,mi jefe no apoya mi desarrollo profesional y me siento muy estresado por la carga laboral,0
56,3027,38,36,finanzas,fijo,36,5,2,2,30,estoy contento con mi trabajo,1
55,3245,36,11,ventas,fijo,40,4,5,1,33,siento estabilidad en mi trabajo,0
51,2452,33,7,produccion,fijo,43,3,5,0,5,hay tareas repetitivas que no disfruto,1
55,3638,37,24,ti,fijo,54,4,1,4,12,estoy motivado y satisfecho con mis proyectos,0
51,2798,30,6,logistica,fijo,40,2,1,0,39,no confio en la direccion de la empresa,1
35,1497,9,1,ti,fijo,58,3,2,0,14,siento que crezco profesionalmente y me siento muy estresado por la carga laboral y siento que no hay crecimiento profesional,0
47,1992,24,0,ventas,fijo,48,3,4,0,26,el equilibrio entre trabajo y vida es justo,0
32,1684,10,7,produccion,fijo,36,4,2,2,30,la cultura de la empresa es positiva,0
44,3136,22,0,rrhh,temporal,51,1,1,0,47,mi jefe no apoya mi desarrollo profesional y me siento muy estresado por la carga laboral,1
51,3446,32,22,ti,fijo,31,3,4,1,41,siento que mi esfuerzo no siempre se reconoce,0
55,2337,36,4,produccion,fijo,51,3,4,1,22,cumplo mis funciones sin mayor inconveniente,0
50,1697,31,28,rrhh,fijo,32,2,1,0,45,hay falta de comunicacion en el equipo,0
41,2823,21,13,produccion,temporal,31,5,2,3,34,hay estabilidad pero falta innovacion,0
32,1574,11,7,finanzas,fijo,50,3,3,4,7,el trabajo es aceptable,1
47,3416,26,19,ti,fijo,34,3,1,1,32,"no es el mejor trabajo, pero tampoco el peor",0
59,2275,40,17,rrhh,fijo,56,2,2,1,27,la carga de trabajo es abrumadora y me siento muy estresado por la carga laboral,1
34,1711,12,6,ventas,fijo,47,5,3,2,6,mi experiencia es promedio,0
22,1380,1,0,ventas,temporal,45,3,5,0,35,me siento reconocido por mis esfuerzos,0
46,2319,28,6,finanzas,temporal,32,4,5,0,42,me siento parte de un buen equipo y siento que no hay crecimiento profesional,1
21,1486,0,0,finanzas,fijo,53,2,5,0,12,no confio en la direccion de la empresa,0
27,1280,6,5,logistica,fijo,44,4,3,2,41,la empresa valora a sus empleados,0
34,2532,13,8,rrhh,temporal,50,5,4,4,30,"el ambiente es regular, podria mejorar",1
27,1754,7,5,ti,fijo,53,2,5,1,12,no confio en la direccion de la empresa,1
34,1476,8,5,ti,fijo,55,1,5,0,34,no confio en la direccion de la empresa y me siento muy estresado por la carga laboral,1
37,2115,19,2,logistica,temporal,49,3,4,1,49,estoy orgulloso de lo que hacemos,1
41,3748,23,20,ventas,temporal,49,2,3,0,6,estoy muy insatisfecho con mi trabajo,0
22,951,0,0,finanzas,fijo,42,1,3,0,21,el ambiente laboral es muy malo ademas considero que el salario es bajo y siento que no hay crecimiento profesional,1
51,1479,27,13,logistica,fijo,35,2,4,0,39,hay buenas oportunidades de aprendizaje y siento que no hay crecimiento profesional,0
23,1359,0,0,ventas,fijo,55,1,1,0,33,siento que mis habilidades no se aprovechan y me siento muy estresado por la carga laboral,1
19,1685,0,0,rrhh,fijo,45,2,4,0,8,el ambiente de oficina es tenso,1
30,1478,5,5,ventas,fijo,40,4,2,4,31,"el ambiente es regular, podria mejorar",1
60,3135,37,2,ventas,temporal,59,3,2,2,34,tengo oportunidades limitadas para crecer y me siento muy estresado por la carga laboral,1
60,4000,41,41,finanzas,fijo,43,5,1,3,2,estoy satisfecho con las condiciones laborales,0
28,1992,1,1,finanzas,temporal,44,4,1,1,20,tengo un equilibrio razonable entre trabajo y vida,0
40,2111,19,8,ti,fijo,50,5,2,2,12,siento estabilidad en mi trabajo,1
33,1684,10,4,ti,fijo,34,5,4,2,32,la empresa valora a sus empleados,1
48,3448,29,6,logistica,fijo,54,2,3,4,35,siento que mi trabajo no tiene impacto y me siento muy estresado por la carga laboral,0
28,1912,5,1,ti,temporal,35,3,2,0,9,el equilibrio entre trabajo y vida es justo,1
33,2388,12,6,ventas,temporal,59,2,4,3,35,me siento parte de un buen equipo,1
25,1186,3,2,ventas,temporal,44,4,2,1,17,la empresa valora a sus empleados,1
21,902,0,0,produccion,fijo,48,1,3,0,30,mi jefe no apoya mi desarrollo profesional ademas considero que el salario es bajo,1
57,2000,36,35,rrhh,fijo,40,5,2,3,44,tengo un equilibrio razonable entre trabajo y vida,1
21,984,0,0,produccion,fijo,49,3,2,0,39,aprecio el apoyo de mis colegas pero no siempre de mi jefe ademas considero que el salario es bajo y siento que no hay crecimiento profesional,0
42,2843,22,19,rrhh,fijo,54,4,3,4,0,la cultura de la empresa es positiva y me siento muy estresado por la carga laboral,0
20,1494,1,0,logistica,fijo,35,4,5,0,30,tengo oportunidades limitadas para crecer,1
49,3177,31,2,finanzas,fijo,40,3,2,1,25,siento que mi esfuerzo no siempre se reconoce,0
20,996,0,0,logistica,fijo,59,2,2,0,15,me siento reconocido por mis esfuerzos y me siento muy estresado por la carga laboral ademas considero que el salario es bajo,1
44,2136,22,19,ventas,fijo,37,3,2,1,37,"algunas tareas son interesantes, otras no tanto",0
46,2717,28,8,produccion,temporal,56,2,1,1,11,la carga de trabajo es abrumadora y me siento muy estresado por la carga laboral,0
49,3042,25,20,logistica,temporal,52,4,1,4,47,hay tareas repetitivas que no disfruto y me siento muy estresado por la carga laboral,1
36,2630,15,13,ventas,fijo,41,4,3,3,42,disfruto trabajar en esta empresa,1
38,2353,18,12,produccion,fijo,46,5,4,4,42,hay estabilidad pero falta innovacion,0
22,689,0,0,ti,fijo,30,3,1,0,50,no tengo motivacion para seguir en este trabajo y siento que no hay crecimiento profesional,1
35,2185,10,0,rrhh,fijo,39,4,3,0,28,siento que crezco profesionalmente,1
45,2393,20,5,ti,temporal,43,4,1,1,11,siento que crezco profesionalmente,1
59,3463,37,25,logistica,fijo,36,4,4,3,4,siento estabilidad en mi trabajo,0
39,2744,18,7,ventas,fijo,58,2,1,2,41,la cultura de la empresa es positiva y me siento muy estresado por la carga laboral,1
38,1765,16,16,finanzas,fijo,47,3,5,4,1,la empresa tiene potencial de mejora,0
23,1159,0,0,finanzas,fijo,38,4,4,0,11,mi desarrollo profesional es constante,0
18,713,0,0,ti,temporal,59,2,4,0,13,me siento estancado profesionalmente ademas considero que el salario es bajo y siento que no hay crecimiento profesional,1
22,1470,0,0,produccion,fijo,57,3,1,0,46,tengo oportunidades limitadas para crecer y me siento muy estresado por la carga laboral,1
58,4000,40,17,ti,fijo,45,3,1,2,29,disfruto trabajar en esta empresa,0
29,1568,7,0,finanzas,fijo,39,2,2,0,34,la carga de trabajo es abrumadora,1
43,2353,20,3,ti,fijo,41,4,2,1,46,no recibo retroalimentacion suficiente,1
51,3370,31,25,rrhh,fijo,38,4,4,2,16,me siento reconocido por mis esfuerzos,0
31,1228,10,5,ti,temporal,43,3,2,0,2,el equilibrio entre trabajo y vida es justo,1
43,2642,25,15,produccion,fijo,57,1,2,1,8,no tengo motivacion para seguir en este trabajo,1
44,3494,26,17,ventas,fijo,31,4,2,2,6,no recibo retroalimentacion suficiente,0
26,974,4,1,ti,fijo,54,1,5,1,19,estoy muy insatisfecho con mi trabajo ademas considero que el salario es bajo,0
43,2974,24,3,rrhh,fijo,54,4,2,3,11,la empresa valora a sus empleados,0
39,2495,21,1,logistica,fijo,39,3,2,0,6,mi equipo y mi jefe me apoyan mucho y siento que no hay crecimiento profesional,1
47,3657,29,27,produccion,temporal,51,3,5,1,28,siento que mi esfuerzo no siempre se reconoce y me siento muy estresado por la carga laboral,1
60,3113,41,24,rrhh,temporal,50,4,1,1,28,me gusta el ambiente laboral,1
34,1350,10,8,produccion,fijo,39,5,4,4,17,hay cosas buenas y malas,0
43,3305,21,14,logistica,fijo,31,5,3,3,1,la empresa valora a sus empleados,0
53,4000,34,31,finanzas,temporal,35,4,1,4,47,tengo oportunidades limitadas para crecer,1
18,1880,0,0,finanzas,fijo,40,2,5,0,10,el trabajo es estresante y agotador y siento que no hay crecimiento profesional,1
25,1901,0,0,ventas,temporal,38,3,5,0,25,el trabajo cumple con lo esperado y siento que no hay crecimiento profesional,0
52,1707,28,4,ventas,fijo,32,3,4,3,26,"algunas tareas son interesantes, otras no tanto",1
32,1236,14,2,produccion,fijo,48,2,2,1,18,el trabajo es aceptable,1
39,1271,14,2,rrhh,temporal,40,4,3,0,37,no hay reconocimiento al esfuerzo,0
31,2036,10,0,rrhh,fijo,33,3,3,0,19,tengo oportunidades limitadas para crecer,1
43,1746,15,12,ti,fijo,44,3,3,2,23,no confio en la direccion de la empresa,1
